                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.8768,                 3.0702,                 1.2735,                0.43603,                0.32148,                0.18969,                0.10751,                 1.3709,                 2.4618,                 1.0138,               0.070405,              0.0032883,              0.0032883
                      1,                 1.5136,                 1.6022,                 1.0405,                0.71705,                0.60614,                0.65599,                0.44424,                 1.1852,                 1.3092,                0.98927,               0.040187,              0.0064031,              0.0064031
                      2,                 1.5332,                 1.2511,                 1.0444,                0.76388,                0.79905,                0.84571,                0.38851,                 1.8715,                 1.0846,                 1.1154,              0.0097484,              0.0092979,              0.0092979
                      3,                 1.4807,                 1.1029,                 1.0083,                0.78482,                0.78558,                0.83768,                0.38664,                 1.7577,                 1.1434,                 1.0742,                0.00901,                0.00901,                0.00901
                      4,                 1.3282,                0.95945,                0.97735,                 0.8855,                0.89121,                0.93338,                0.63416,                 1.1066,                0.84131,                0.91178,                0.00901,                0.00901,                0.00901
                      5,                 1.2159,                0.87809,                0.94665,                0.91165,                 0.9184,                0.95694,                0.67341,                 1.0338,                0.75924,                0.90006,                0.00868,                0.00868,                0.00868
                      6,                 1.1301,                0.81088,                0.93218,                0.94099,                0.93574,                 0.9588,                0.70119,                0.93415,                0.72101,                0.87817,                0.00835,                0.00835,                0.00835
                      7,                 1.0902,                 0.7651,                0.91664,                0.95425,                0.95281,                0.97064,                 0.6963,                 1.0333,                0.67579,                0.87457,                0.00802,                0.00802,                0.00802
                      8,                 1.0388,                0.72084,                0.91021,                0.97112,                0.94015,                0.97453,                0.70933,                0.97857,                0.65342,                0.86152,                0.00769,                0.00769,                0.00769
                      9,                0.96525,                0.68895,                0.89864,                 0.9643,                0.96373,                0.97901,                0.78233,                 0.7841,                0.59842,                0.85027,                0.00736,                0.00736,                0.00736
                     10,                0.95352,                0.66999,                0.88916,                0.97693,                0.96882,                0.98324,                0.75848,                0.82017,                0.58784,                 0.8486,                0.00703,                0.00703,                0.00703
                     11,                 0.9184,                0.64489,                0.88881,                0.98433,                0.96581,                0.98187,                0.78249,                0.76933,                0.57314,                0.84115,                 0.0067,                 0.0067,                 0.0067
                     12,                0.88224,                0.62719,                0.88055,                0.98445,                0.96463,                0.98266,                0.77993,                0.75831,                0.56293,                0.84836,                0.00637,                0.00637,                0.00637
                     13,                0.85645,                0.61894,                0.87414,                0.97634,                0.96608,                0.98183,                0.79767,                0.74583,                 0.5485,                0.83525,                0.00604,                0.00604,                0.00604
                     14,                0.84664,                0.60596,                0.87189,                0.98108,                0.96556,                0.98194,                0.81662,                0.67696,                0.53563,                0.83691,                0.00571,                0.00571,                0.00571
                     15,                0.80787,                 0.5865,                0.86532,                0.97818,                0.97102,                0.98344,                0.80125,                0.69809,                0.52754,                0.82947,                0.00538,                0.00538,                0.00538
                     16,                0.78547,                  0.576,                0.86018,                0.98632,                0.96711,                0.98368,                0.81767,                0.66974,                0.50984,                0.81952,                0.00505,                0.00505,                0.00505
                     17,                0.77281,                0.56407,                0.85877,                0.98604,                0.96718,                0.98366,                 0.8234,                 0.6443,                0.49609,                0.82398,                0.00472,                0.00472,                0.00472
                     18,                0.75159,                0.55293,                0.85502,                0.98466,                0.97431,                0.98521,                0.83436,                0.60249,                0.48261,                0.82216,                0.00439,                0.00439,                0.00439
                     19,                 0.7275,                 0.5379,                0.85067,                0.98688,                0.97596,                0.98523,                0.83085,                0.61648,                0.47673,                0.81969,                0.00406,                0.00406,                0.00406
                     20,                0.72634,                0.55362,                0.84782,                0.98133,                0.98219,                0.98606,                0.83601,                0.61595,                0.48122,                0.81592,                0.00373,                0.00373,                0.00373
                     21,                0.66928,                0.52373,                0.84247,                0.98225,                0.97146,                0.98516,                0.82582,                0.62743,                0.48698,                0.81931,                 0.0034,                 0.0034,                 0.0034
                     22,                0.64674,                0.50751,                0.84008,                0.98097,                0.97134,                0.98561,                0.84224,                0.58213,                0.46225,                0.81141,                0.00307,                0.00307,                0.00307
                     23,                0.62132,                0.49481,                  0.836,                0.98124,                0.96174,                0.98464,                0.84344,                0.56267,                0.45094,                0.81121,                0.00274,                0.00274,                0.00274
                     24,                0.60509,                0.48588,                0.83265,                0.98348,                0.98073,                0.98698,                0.84837,                 0.5562,                0.44124,                0.81034,                0.00241,                0.00241,                0.00241
                     25,                0.58633,                0.47363,                0.82988,                0.98905,                0.97946,                 0.9874,                0.85696,                0.53768,                0.43053,                0.80454,                0.00208,                0.00208,                0.00208
                     26,                0.57354,                0.46533,                0.82616,                0.98804,                0.98262,                0.98728,                 0.8588,                0.53369,                 0.4192,                0.80557,                0.00175,                0.00175,                0.00175
                     27,                0.56531,                0.46197,                 0.8245,                0.98503,                0.97919,                0.98692,                0.85797,                0.54938,                0.42983,                0.80448,                0.00142,                0.00142,                0.00142
                     28,                0.54466,                0.45509,                0.81997,                0.98666,                0.98221,                0.98776,                0.86447,                0.52076,                0.41424,                0.80088,                0.00109,                0.00109,                0.00109
                     29,                0.53769,                0.44656,                0.82077,                0.98491,                 0.9823,                0.98793,                0.86838,                0.51684,                0.41041,                0.79952,                0.00076,                0.00076,                0.00076
